x-axis,1,2,3
second,Volt,Volt,Volt
-59.300E-06,+3.135678358E+00,-10.050251E-03,+3.271356749E+00
-59.200E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-59.100E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-59.000E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-58.900E-06,+3.135678358E+00,-10.050251E-03,+3.251256247E+00
-58.800E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-58.700E-06,+3.140703484E+00,+0.0E+00,+3.276381874E+00
-58.600E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-58.500E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-58.400E-06,+3.140703484E+00,-5.025126E-03,+3.261306498E+00
-58.300E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-58.200E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-58.100E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-58.000E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-57.900E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-57.800E-06,+3.140703484E+00,-10.050251E-03,+3.221105493E+00
-57.700E-06,+3.135678358E+00,-10.050251E-03,+3.241205995E+00
-57.600E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-57.500E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-57.400E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-57.300E-06,+3.130653233E+00,+0.0E+00,+3.276381874E+00
-57.200E-06,+3.135678358E+00,-5.025126E-03,+3.281407000E+00
-57.100E-06,+3.135678358E+00,-15.075377E-03,+3.236180870E+00
-57.000E-06,+3.135678358E+00,-5.025126E-03,+3.246231121E+00
-56.900E-06,+3.135678358E+00,-10.050251E-03,+3.291457251E+00
-56.800E-06,+3.135678358E+00,-10.050251E-03,+3.276381874E+00
-56.700E-06,+3.135678358E+00,-5.025126E-03,+3.281407000E+00
-56.600E-06,+3.135678358E+00,+0.0E+00,+3.236180870E+00
-56.500E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-56.400E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-56.300E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-56.200E-06,+3.135678358E+00,+0.0E+00,+3.236180870E+00
-56.100E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-56.000E-06,+3.135678358E+00,-10.050251E-03,+3.286432126E+00
-55.900E-06,+3.135678358E+00,-15.075377E-03,+3.271356749E+00
-55.800E-06,+3.135678358E+00,-10.050251E-03,+3.286432126E+00
-55.700E-06,+3.135678358E+00,-10.050251E-03,+3.271356749E+00
-55.600E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-55.500E-06,+3.140703484E+00,+0.0E+00,+3.276381874E+00
-55.400E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-55.300E-06,+3.135678358E+00,-5.025126E-03,+3.261306498E+00
-55.200E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-55.100E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-55.000E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-54.900E-06,+3.135678358E+00,+0.0E+00,+3.241205995E+00
-54.800E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-54.700E-06,+3.135678358E+00,-15.075377E-03,+3.271356749E+00
-54.600E-06,+3.145728610E+00,-5.025126E-03,+3.266331623E+00
-54.500E-06,+3.135678358E+00,-5.025126E-03,+3.256281372E+00
-54.400E-06,+3.140703484E+00,-5.025126E-03,+3.236180870E+00
-54.300E-06,+3.140703484E+00,+0.0E+00,+3.271356749E+00
-54.200E-06,+3.140703484E+00,-10.050251E-03,+3.286432126E+00
-54.100E-06,+3.135678358E+00,-10.050251E-03,+3.276381874E+00
-54.000E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-53.900E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-53.800E-06,+3.135678358E+00,-25.125628E-03,+3.276381874E+00
-53.700E-06,+3.135678358E+00,-10.050251E-03,+3.246231121E+00
-53.600E-06,+3.135678358E+00,-10.050251E-03,+3.271356749E+00
-53.500E-06,+3.135678358E+00,-5.025126E-03,+3.261306498E+00
-53.400E-06,+3.130653233E+00,+0.0E+00,+3.261306498E+00
-53.300E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-53.200E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-53.100E-06,+3.130653233E+00,+0.0E+00,+3.281407000E+00
-53.000E-06,+3.130653233E+00,-30.150753E-03,+3.266331623E+00
-52.900E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-52.800E-06,+3.135678358E+00,-25.125628E-03,+3.251256247E+00
-52.700E-06,+3.135678358E+00,-15.075377E-03,+3.281407000E+00
-52.600E-06,+3.135678358E+00,-5.025126E-03,+3.266331623E+00
-52.500E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-52.400E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-52.300E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-52.200E-06,+3.135678358E+00,-5.025126E-03,+3.256281372E+00
-52.100E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-52.000E-06,+3.135678358E+00,-5.025126E-03,+3.236180870E+00
-51.900E-06,+3.135678358E+00,-5.025126E-03,+3.256281372E+00
